PQID,CMT,UNM,CAT,Year,Month,Day
70204,1,Piotr Gabryanczyk,O,2012,1,24
70210,1,Roland Kuhn,O,2012,1,24
70212,4,Roland Kuhn,O,2012,1,24
70182,13,Viktor Klang (√),O,2012,1,25
70185,2,Patrik Nordwall,O,2012,1,25
70186,1,Roland Kuhn,O,2012,1,25
70189,1,Viktor Klang (√),O,2012,1,25
70194,11,Viktor Klang (√),O,2012,1,25
70197,5,Piotr Gabryanczyk,O,2012,1,25
70169,7,Roland Kuhn,O,2012,1,26
70173,1,Patrik Nordwall,O,2012,1,26
70183,2,Patrik Nordwall,O,2012,1,26
70184,2,Patrik Nordwall,O,2012,1,26
70191,7,Piotr Gabryanczyk,O,2012,1,26
70148,43,Viktor Klang (√),O,2012,1,27
70154,17,Viktor Klang (√),O,2012,1,27
70180,14,Piotr Gabryanczyk,O,2012,1,28
70158,5,Patrik Nordwall,O,2012,1,30
70165,17,Piotr Gabryanczyk,O,2012,1,30
70172,3,Patrik Nordwall,O,2012,1,30
70128,4,Roland Kuhn,O,2012,1,31
70135,1,Patrik Nordwall,O,2012,1,31
70137,2,Roland Kuhn,O,2012,1,31
70138,1,Viktor Klang (√),O,2012,1,31
70141,4,Jonas Bonér,O,2012,1,31
70142,5,Viktor Klang (√),O,2012,1,31
70144,2,Patrik Nordwall,O,2012,1,31
70146,6,Patrik Nordwall,O,2012,1,31
70120,11,Jonas Bonér,O,2012,2,1
70126,3,Viktor Klang (√),O,2012,2,1
70131,2,Viktor Klang (√),O,2012,2,1
70132,1,Patrik Nordwall,O,2012,2,1
70134,1,Viktor Klang (√),O,2012,2,1
70116,3,Patrik Nordwall,O,2012,2,3
70117,2,Roland Kuhn,O,2012,2,3
70118,1,Roland Kuhn,O,2012,2,3
70121,3,Roland Kuhn,O,2012,2,3
70115,2,Raymond Roestenburg,O,2012,2,5
92314,1,Raymond Roestenburg,M,2012,2,5
70047,1,Patrik Nordwall,O,2012,2,6
70049,2,Patrik Nordwall,O,2012,2,6
70051,2,Viktor Klang (√),O,2012,2,6
70055,1,Roland Kuhn,O,2012,2,6
70108,3,Roland Kuhn,O,2012,2,6
70110,2,Viktor Klang (√),O,2012,2,6
70112,7,Piotr Gabryanczyk,O,2012,2,6
92310,1,Piotr Gabryanczyk,M,2012,2,6
70013,18,Jonas Bonér,O,2012,2,7
70039,1,Patrik Nordwall,O,2012,2,7
70041,3,Roland Kuhn,O,2012,2,7
70044,1,Patrik Nordwall,O,2012,2,7
70045,2,Patrik Nordwall,O,2012,2,7
70037,2,Patrik Nordwall,O,2012,2,8
70028,1,Viktor Klang (√),O,2012,2,9
70021,1,Patrik Nordwall,O,2012,2,10
70024,1,Patrik Nordwall,O,2012,2,10
70025,1,Patrik Nordwall,O,2012,2,10
70027,14,Viktor Klang (√),O,2012,2,10
70029,2,Patrik Nordwall,O,2012,2,10
70031,3,Roland Kuhn,O,2012,2,10
70034,6,Roland Kuhn,O,2012,2,10
70018,2,Henrik Engstrom,O,2012,2,12
70017,1,Roland Kuhn,O,2012,2,13
92333,22,Roland Kuhn,M,2012,2,13
69998,2,Viktor Klang (√),O,2012,2,16
70000,1,Viktor Klang (√),O,2012,2,16
70012,1,Viktor Klang (√),O,2012,2,16
92262,6,Jonas Bonér,M,2012,2,16
92359,13,Patrik Nordwall,M,2012,2,16
69995,1,Viktor Klang (√),O,2012,2,18
92432,3,Henrik Engstrom,M,2012,2,18
69993,7,Roland Kuhn,O,2012,2,19
69997,2,Viktor Klang (√),O,2012,2,19
69978,1,Viktor Klang (√),O,2012,2,20
69980,1,Viktor Klang (√),O,2012,2,20
69981,2,Roland Kuhn,O,2012,2,20
69982,1,Roland Kuhn,O,2012,2,20
69984,1,Viktor Klang (√),O,2012,2,20
69985,5,Viktor Klang (√),O,2012,2,20
69987,1,Viktor Klang (√),O,2012,2,20
69989,1,Viktor Klang (√),O,2012,2,20
69967,1,Roland Kuhn,O,2012,2,21
69968,1,Roland Kuhn,O,2012,2,21
69990,4,Roland Kuhn,O,2012,2,21
92194,32,Viktor Klang (√),M,2012,2,21
69961,4,Roland Kuhn,O,2012,2,22
69952,4,Roland Kuhn,O,2012,2,23
69366,230,Derek Williams,O,2012,2,27
69890,95,Derek Williams,O,2012,2,27
69940,62,Derek Williams,O,2012,2,27
69949,1,Derek Williams,O,2012,2,27
69950,1,Roland Kuhn,O,2012,2,27
69951,6,Viktor Klang (√),O,2012,2,27
69955,74,Derek Williams,O,2012,2,27
69938,1,Roland Kuhn,O,2012,2,28
70052,31,Viktor Klang (√),O,2012,2,28
69935,5,Viktor Klang (√),O,2012,2,29
69934,4,Viktor Klang (√),O,2012,3,1
69930,1,Roland Kuhn,O,2012,3,2
69932,2,Roland Kuhn,O,2012,3,2
69928,2,Roland Kuhn,O,2012,3,5
69915,1,Roland Kuhn,O,2012,3,12
69913,6,Viktor Klang (√),O,2012,3,14
69910,1,Viktor Klang (√),O,2012,3,16
69912,3,Viktor Klang (√),O,2012,3,16
92195,12,Viktor Klang (√),M,2012,3,16
92296,6,Peter Vlugter,M,2012,3,18
92377,1,Björn Antonsson,M,2012,3,20
92263,11,Jonas Bonér,M,2012,3,22
69901,6,Mathias,O,2012,3,26
69904,13,Irmo Manie,O,2012,3,26
76827,2,Raymond Roestenburg,O,2012,3,26
92315,2,Raymond Roestenburg,M,2012,3,26
92334,9,Roland Kuhn,M,2012,3,26
69896,1,Piotr Gabryanczyk,O,2012,3,27
69897,9,Philipp Haller,O,2012,3,27
92311,1,Piotr Gabryanczyk,M,2012,3,27
69888,2,Roland Kuhn,O,2012,3,28
69889,5,Roland Kuhn,O,2012,3,30
69891,7,Piotr Gabryanczyk,O,2012,3,30
69893,2,Piotr Gabryanczyk,O,2012,3,30
69883,1,Viktor Klang (√),O,2012,4,2
69885,1,Viktor Klang (√),O,2012,4,2
69879,2,Roland Kuhn,O,2012,4,3
69881,1,Roland Kuhn,O,2012,4,3
69882,2,Viktor Klang (√),O,2012,4,4
92196,53,Viktor Klang (√),M,2012,4,4
69873,2,Roland Kuhn,O,2012,4,10
92264,2,Jonas Bonér,M,2012,4,12
69869,1,Oliver Schulz,O,2012,4,18
69870,1,Oliver Schulz,O,2012,4,18
69864,1,Viktor Klang (√),O,2012,4,22
69857,1,Heiko Seeberger,O,2012,4,23
69858,1,Viktor Klang (√),O,2012,4,23
69860,1,Viktor Klang (√),O,2012,4,23
69862,1,Roland Kuhn,O,2012,4,23
69863,1,Viktor Klang (√),O,2012,4,23
69866,10,Viktor Klang (√),O,2012,4,23
76819,1,Viktor Klang (√),O,2012,4,23
92312,1,Piotr Gabryanczyk,M,2012,4,23
69849,1,Viktor Klang (√),O,2012,4,24
69851,1,Viktor Klang (√),O,2012,4,24
69853,1,Heiko Seeberger,O,2012,4,24
69854,1,Viktor Klang (√),O,2012,4,24
69856,1,Viktor Klang (√),O,2012,4,24
69872,8,Jonas Bonér,O,2012,4,24
76820,3,Oliver Schulz,O,2012,4,24
69841,2,Viktor Klang (√),O,2012,4,25
69842,1,Viktor Klang (√),O,2012,4,25
69843,1,Viktor Klang (√),O,2012,4,25
92378,1,Björn Antonsson,M,2012,4,25
69845,2,Viktor Klang (√),O,2012,4,26
69839,6,Viktor Klang (√),O,2012,4,27
69844,3,Viktor Klang (√),O,2012,4,27
92335,21,Roland Kuhn,M,2012,4,27
69822,4,Roland Kuhn,O,2012,4,30
69774,61,Oliver Schulz,O,2012,5,1
69830,3,Piotr Gabryanczyk,O,2012,5,2
69832,2,Viktor Klang (√),O,2012,5,2
92336,15,Roland Kuhn,M,2012,5,4
69824,1,Viktor Klang (√),O,2012,5,7
69814,1,Viktor Klang (√),O,2012,5,8
69816,2,Viktor Klang (√),O,2012,5,8
69804,2,Peter Vlugter,O,2012,5,9
69805,1,Roland Kuhn,O,2012,5,9
69807,1,Roland Kuhn,O,2012,5,9
69799,1,Viktor Klang (√),O,2012,5,10
69802,2,Piotr Gabryanczyk,O,2012,5,10
69825,3,Raymond Roestenburg,O,2012,5,10
69795,2,Raymond Roestenburg,O,2012,5,11
69796,1,Viktor Klang (√),O,2012,5,11
69798,1,Viktor Klang (√),O,2012,5,11
69792,2,Patrik Nordwall,O,2012,5,13
69793,2,Roland Kuhn,O,2012,5,13
92297,1,Peter Vlugter,M,2012,5,13
69784,1,Patrik Nordwall,O,2012,5,15
69785,1,Roland Kuhn,O,2012,5,15
69786,1,Roland Kuhn,O,2012,5,15
69790,1,Heiko Seeberger,O,2012,5,15
69791,4,Patrik Nordwall,O,2012,5,15
69769,2,Patrik Nordwall,O,2012,5,20
69771,4,Jonas Bonér,O,2012,5,20
69773,2,Patrik Nordwall,O,2012,5,20
69788,2,Patrik Nordwall,O,2012,5,20
69759,2,Patrik Nordwall,O,2012,5,21
69756,4,Patrik Nordwall,O,2012,5,23
69757,2,Mathias,O,2012,5,23
92265,21,Jonas Bonér,M,2012,5,23
69717,3,Björn Antonsson,O,2012,5,24
69744,1,Roland Kuhn,O,2012,5,24
69746,4,Patrik Nordwall,O,2012,5,24
69749,5,Patrik Nordwall,O,2012,5,24
69751,1,Roland Kuhn,O,2012,5,24
69753,6,Patrik Nordwall,O,2012,5,24
69787,73,Viktor Klang (√),O,2012,5,24
69729,2,Roland Kuhn,O,2012,5,25
69731,3,Viktor Klang (√),O,2012,5,25
69735,1,Roland Kuhn,O,2012,5,25
69736,5,Björn Antonsson,O,2012,5,25
69737,4,Patrik Nordwall,O,2012,5,25
69762,7,Viktor Klang (√),O,2012,5,25
